Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
10/10/1949 20:30,san marcos,tx,us,cylinder,2700,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004,29.8830556,-97.9411111
10/10/1956 21:00,edna,tx,us,circle,20,1/2 hour,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,1/17/2004,28.9783333,-96.6458333
10/10/1965 21:00,penarth (uk/wales),,gb,circle,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18
10/10/1979 22:00,saddle lake (canada),ab,,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885
10/10/1984 05:00,houston,tx,us,circle,60,1 minute,2 experience with unkown,4/18/2012,29.7630556,-95.3630556
10/10/1985 20:25,leeds (uk/england),,gb,triangle,600,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333
10/10/1989 21:00,centralia,wa,us,triangle,60,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,4/27/2004,46.7163889,-122.9530556
10/10/1989 21:00,kranklin,ky,,triangle,180,3min,Triangle seen in franklin Ky - october 1989,5/11/2005,36.722263,-86.577218
10/10/1990 21:00,ashburn,ga,us,triangle,120,2 minutes,Translucent Craft that makes No Sound While Moving,10/8/2007,31.7058333,-83.6533333
10/10/1991 22:00,harrisburg,pa,us,triangle,600,10 minutes,We observed 3 triangular shaped high speed objects&#33,5/9/2003,40.2736111,-76.8847222
10/10/1996 03:20,higginsville,mo,us,triangle,3,3sec,illuminated triangular craft&#44 flying at high speed from South to North,2/16/2000,39.0725,-93.7169444
10/10/1996 22:30,monroe county,oh,us,cylinder,60,1 minute,Looked like it went through the hillside,7/8/2004,39.4402778,-84.3622222
10/10/1997 20:00,bonaire,ga,us,triangle,300,<5 minutes,Triangular Object Sighted at Very Close Range,2/1/2007,32.5436111,-83.5961111
10/10/1998 20:30,nyc/westchester area,ny,,triangle,60,< 1 min,Lights over NYC,10/30/2006,40.935998,-73.901708
10/10/1998 20:30,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,us,triangle,600,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,8/5/2001,47.6588889,-117.425
10/10/1999 20:35,hayward,ca,us,circle,90,60-90 sec,Many different colored glowing  objects,11/20/2001,37.6688889,-122.0797222
10/10/1999 22:30,casey key (north end of),fl,,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053,-82.480653
10/10/2001 03:00,rockwell city,ia,us,triangle,240,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,7/1/2002,42.3952778,-94.6336111
10/10/2001 20:35,hayward,ca,us,circle,120,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,11/20/2001,37.6688889,-122.0797222
10/10/2001 22:00,phoenix,az,us,triangle,60,less then a minute,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow,11/20/2001,33.4483333,-112.0733333
10/10/2001 23:00,virginia beach,va,us,triangle,30,30 seconds,shaped like a stealth bomber (boomerang like&#44 but more triangluar) flat-black in color&#44 made a deep humming sound either really low to,7/26/2002,36.8527778,-75.9783333
10/10/2002 04:00,adelaide (pt. wakefield) (south australia),,au,circle,600,10 mins,one light became 3,10/28/2002,-34.928661,138.598633
10/10/2002 21:00,portland,or,us,circle,120,2min,The LIGHT is the TRUTH&#33,12/16/2005,45.5236111,-122.675
10/10/2004 02:50,mahwah,nj,us,triangle,180,2 - 3 minutes,Triangle shaped flying&#44 hovering U.F.O. witnessed over Sheraton Hotel in Mahwah&#44 NJ. on 10/10/04.,12/12/2011,41.0886111,-74.1441667
10/10/2005 20:00,loretto,pa,us,triangle,300,5 minutes,Dull red flash&#44 Triangular ship&#44 Vocal Noises,10/30/2006,40.5030556,-78.6305556
10/10/2006 05:00,san francisco,ca,us,triangle,600,10 minutes,black triangles were seen flying across the surface of the full moon,10/30/2006,37.775,-122.4183333
10/10/2007 22:00,fleming,co,us,circle,600,10 minutes,UFO SPOTTED&#44 FLEMING COLORADO,11/28/2007,40.68,-102.8388889
10/10/2007 23:05,northglenn,co,us,triangle,15,15 seconds,Hovering triangular shape seen with flashing lights seen in Colorado,11/28/2007,39.8855556,-104.9866667
10/10/2008 02:00,slingerlands,ny,us,circle,240,4 min,Huge&#44 moon size&#44 orange&#44 bright&#44 almost complete circle,10/31/2008,42.6291667,-73.865
10/10/2008 22:30,madison,wi,us,circle,20,20 secounds,Tanslucent orange/yellow UFO in Madison WI,10/31/2008,43.0730556,-89.4011111
10/10/2010 02:30,harrisburg,pa,us,circle,240,4  minutes,possible UFO sighting,11/21/2010,40.2736111,-76.8847222
10/10/2010 03:00,euclid,oh,us,circle,180,3 minutes,2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie,11/21/2010,41.5930556,-81.5269444
10/10/2010 20:45,sterling,il,us,cylinder,600,10min,It had rows of white lights with red lights pulsating in between them,11/21/2010,41.7886111,-89.6961111
10/10/2010 21:30,albany,ny,us,circle,10,10 seconds,Circle of light SUNY Albany.,8/30/2013,42.6525,-73.7566667
10/10/2011 00:00,troy,ny,us,triangle,7200,2 hours,Red&#44 green &amp; orange blinking triangle formation.  ((NUFORC Note:  Probable sighting of a twinkling star&#44 possibly Sirius.  PD)),10/10/2011,42.7283333,-73.6922222
10/10/2011 01:00,farmington,nm,us,circle,300,5 minutes,Single reddish circle  in the sky that wasn&#39t jet nor satelitte,8/30/2013,36.7280556,-108.2180556
10/10/2011 21:00,york,pa,us,circle,15,15 seconds,BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY&#44 MAKING NO SOUND&#44 THEN DISAPPEARS,10/19/2011,39.9625,-76.7280556
10/10/2011 21:55,north platte,ne,us,circle,3,3 seconds,Object over North Platte Nebraska,12/12/2011,41.1238889,-100.765
10/10/2011 23:00,waynesville,oh,us,triangle,90,1:30,Flying triangle by Waynesville&#44 Ohio,10/19/2011,39.5297222,-84.0866667
10/10/2012 20:17,mount albert (canada),on,,triangle,30,30 seconds,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,10/30/2012,44.136076,-79.308339
